Product_Brand,avg_rating,total_reviews,brand,avg_price,product_count
AMAZON KERATIN,4.1,6.0,AMAZON KERATIN,2100.0,1
APS COSMETOFOOD,4.5,3.0,APS COSMETOFOOD,600.0,1
Allin Exporters,4.35,4.0,Allin Exporters,265.17,6
Ancient Living,4.0,3.0,Ancient Living,199.0,1
Aroma Magic,4.15,3535.0,Aroma Magic,152.5,2
Aroma Treasures,3.93,61.0,Aroma Treasures,228.0,3
As-It-Is Nutrition,2.0,0.0,As-It-Is Nutrition,576.0,1
Astaberry,4.2,31.0,Astaberry,71.33,3
Aveda,4.54,215.0,Aveda,1030.0,5
Axe,4.6,22.0,Axe,125.0,1
BBlunt,4.1,97.0,BBlunt,76.0,1
BOLLYGLOW,3.3,2.0,BOLLYGLOW,665.0,1
Bajaj Nomarks,3.9,24.0,Bajaj Nomarks,49.0,1
Beardhood,4.2,8.0,Beardhood,200.0,1
Beaver Professional,4.0,1.0,Beaver Professional,960.0,1
Beeone,2.7,0.0,Beeone,835.0,1
Benefit Cosmetics,4.5,30.0,Benefit Cosmetics,3060.0,1
Berina,4.1,82.0,Berina,180.0,1
Big Muscles,4.8,0.0,Big Muscles,1020.0,1
Bio Oil,4.2,310.0,Bio Oil,230.0,1
Bioderma,4.2,80.0,Bioderma,750.0,1
Biotique,4.15,18691.0,Biotique,92.0,10
Biotique Natural Makeup,4.2,82.0,Biotique Natural Makeup,450.0,1
Blue Heaven,3.3,150.0,Blue Heaven,86.0,1
Blue Nectar,5.0,2.0,Blue Nectar,445.0,1
Bobbi Brown,4.29,683.0,Bobbi Brown,3506.25,8
Bombay Shaving Company,4.5,7.0,Bombay Shaving Company,139.0,1
Burberry,5.0,3.0,Burberry,3346.67,3
CADIVEU,4.65,2.0,CADIVEU,7000.0,2
Carbamide Forte,5.0,0.0,Carbamide Forte,,1
Carolina Herrera,4.3,3.0,Carolina Herrera,4500.0,1
Chambor,4.5,109.0,Chambor,746.67,3
Charlotte Tilbury,4.42,88.0,Charlotte Tilbury,3870.0,5
Chopard,5.0,1.0,Chopard,3150.0,1
Ciat London,4.1,7.0,Ciat London,1300.0,1
Cinthol,4.3,4.0,Cinthol,60.0,1
Clean & Clear,4.6,59.0,Clean & Clear,80.0,1
Clinique,4.15,4523.0,Clinique,1995.0,4
Close-Up,4.4,9.0,Close-Up,105.0,1
Coco Soul,3.9,15.0,Coco Soul,719.0,1
Colorbar,4.42,738.0,Colorbar,524.5,4
Corioliss,3.5,0.0,Corioliss,5999.0,1
DIOR,4.5,3.0,DIOR,6433.33,3
Daily Life Forever52,3.9,9.0,Daily Life Forever52,850.0,1
Davidoff,4.3,9.0,Davidoff,2685.0,4
Dazller Eterna,4.6,14.0,Dazller Eterna,150.0,1
DeBelle,4.0,14.0,DeBelle,315.0,1
Debon Herbals,3.5,3.0,Debon Herbals,210.0,1
Deborah,4.1,88.0,Deborah,595.0,2
Denver,4.3,15.0,Denver,45.0,1
Dermacol,5.0,1.0,Dermacol,2149.0,1
Dermalogica,4.6,34.0,Dermalogica,1800.0,1
Dhathri,4.4,19.0,Dhathri,173.0,2
Disguise Cosmetics,4.5,105.0,Disguise Cosmetics,700.0,1
Disney,4.1,44.0,Disney,100.0,1
Dove,4.35,740.0,Dove,109.5,2
Dr. Sheth's,5.0,14.0,Dr. Sheth's,850.0,1
Dunhill,5.0,1.0,Dunhill,5100.0,1
Durex,4.0,3.0,Durex,180.0,1
ETUDE HOUSE,4.6,4.0,ETUDE HOUSE,600.0,1
Ellement Co.,1.0,0.0,Ellement Co.,325.0,1
Esbeda,4.4,0.0,Esbeda,1280.0,1
